%Time	Channel A	Channel B
%(us)	(mV)		(mV)
%
1.15199846	-2.79244400	-1.81585100
1.15999846	-2.30414700	-1.08340700
1.16799846	-2.24311000	-0.57985160
1.17599846	-2.30414700	-0.38148130
1.18399846	-2.24311000	-0.39674060
1.19199846	-2.21259200	-0.13733330
1.19999846	-1.89214700	0.36622210
1.20799846	-1.35807400	0.54933320
1.21599845	-0.97659220	0.21362960
1.22399845	-0.39674060	-0.33570360
1.23199845	-0.04577776	-0.51881460
1.23999845	0.41199990	-0.30518510
1.24799845	1.03762900	-0.28992580
1.25599845	1.51066600	-0.65614790
1.26399845	2.15155500	-0.93081450
1.27199845	2.77718400	-0.80874040
1.27999845	3.35703600	-0.44251840
1.28799845	4.11999800	-0.33570360
1.29599845	4.71510900	-0.59511090
1.30399845	5.03555400	-0.54933320
1.31199845	5.31022000	-0.06103702
1.31999845	5.11185000	0.30518510
1.32799845	4.77614600	0.25940730
1.33599845	4.42518400	-0.06103702
1.34399845	3.90636900	-0.06103702
1.35199845	3.25022100	0.39674060
1.35999845	2.31940700	0.57985160
1.36799845	1.06814800	0.10681480
1.37599845	-0.38148130	-0.54933320
1.38399845	-1.75481400	-0.97659220
1.39199845	-3.08236900	-1.11392600
1.39999845	-4.21155400	-1.38859200
1.40799845	-5.12710900	-2.15155500
1.41599845	-5.85955300	-3.02133200
1.42399845	-6.40888600	-3.57066500
1.43199845	-6.66829400	-3.83007300
1.43999845	-6.68355300	-3.96740600
1.44799845	-6.50044200	-4.21155400
1.45599845	-5.98162700	-4.48622100
1.46399845	-5.27970200	-4.45570200
1.47199845	-4.21155400	-4.11999800
1.47999845	-2.83822100	-3.64696200
1.48799845	-1.29703700	-3.12814700
1.49599845	0.07629627	-2.54829500
1.50399845	1.38859200	-1.95318400
1.51199845	2.51777700	-1.23600000
1.51999845	3.52488800	-0.51881460
1.52799845	4.65407200	0.09155552
1.53599845	5.14236800	0.73244420
1.54399845	5.40177600	1.43437000
1.55199845	5.43229400	1.78533300
1.55999845	4.89822100	1.73955500
1.56799844	4.33362800	1.51066600
1.57599844	3.76903600	1.29703700
1.58399844	2.77718400	1.14444400
1.59199844	1.86162900	0.67140720
1.59999844	0.83925900	-0.28992580
1.60799844	-0.57985160	-1.25125900
1.61599844	-1.75481400	-1.95318400
1.62399844	-2.97555400	-2.48725800
1.63199844	-3.86059100	-3.14340600
1.63999844	-4.45570200	-3.92162800
1.64799844	-4.98977600	-4.31836900
1.65599844	-5.03555400	-4.22681300
1.66399844	-4.91348000	-4.02844300
1.67199844	-4.57777600	-3.87585000
1.67999844	-3.78429500	-3.63170200
1.68799844	-3.05185100	-2.94503600
1.69599844	-2.19733300	-1.87688800
1.70399844	-1.11392600	-1.06814800
1.71199844	-0.33570360	-0.68666640
1.71999844	0.64088860	-0.22888880
1.72799844	1.49540700	0.47303690
1.73599844	1.93792500	1.19022200
1.74399844	2.28888800	1.41911100
1.75199844	2.31940700	1.05288900
1.75999844	2.12103600	0.77822200
1.76799844	1.86162900	0.83925900
1.77599844	1.38859200	0.82399970
1.78399844	0.68666640	0.41199990
1.79199844	-0.03051851	-0.32044430
1.79999844	-0.86977740	-0.97659220
1.80799844	-1.72429600	-1.26651800
1.81599844	-2.48725800	-1.52592500
1.82399844	-3.14340600	-2.07525800
1.83199844	-3.63170200	-2.76192500
1.83999844	-3.92162800	-3.34177700
1.84799844	-3.89111000	-3.57066500
1.85599844	-3.75377700	-3.54014700
1.86399844	-3.38755400	-3.60118400
1.87199844	-2.86874000	-3.64696200
1.87999844	-2.30414700	-3.41807300
1.88799844	-1.69377700	-2.82296200
1.89599844	-1.05288900	-2.01422100
1.90399844	-0.38148130	-1.29703700
1.91199844	0.25940730	-0.79348120
1.91999843	0.94607370	-0.24414810
1.92799843	1.40385100	0.47303690
1.93599843	1.72429600	1.09866600
1.94399843	1.83111000	1.31229600
1.95199843	1.58696200	1.08340700
1.95999843	1.35807400	0.71718490
1.96799843	1.08340700	0.44251840
1.97599843	0.64088860	0.16785180
1.98399843	0.25940730	-0.35096280
1.99199843	-0.25940730	-1.12918500
1.99999843	-0.90029600	-1.89214700
2.00799843	-1.34281400	-2.41096200
2.01599843	-1.72429600	-2.67036900
2.02399843	-1.99896200	-2.89925800
2.03199843	-2.10577700	-3.18918400
2.03999843	-2.12103600	-3.40281400
2.04799843	-1.93792500	-3.37229500
2.05599843	-1.66325900	-3.11288800
2.06399843	-1.26651800	-2.76192500
2.07199843	-0.76296270	-2.45674000
2.07999843	-0.35096280	-2.13629600
2.08799843	0.07629627	-1.66325900
2.09599843	0.51881460	-1.11392600
2.10399843	0.85451820	-0.59511090
2.11199843	1.25125900	-0.21362960
2.11999843	1.52592500	0.07629627
2.12799843	1.64799900	0.32044430
2.13599843	1.70903600	0.53407390
2.14399843	1.49540700	0.57985160
2.15199843	1.20548100	0.38148130
2.15999843	0.86977740	0.00000000
2.16799843	0.47303690	-0.42725910
2.17599843	0.12207400	-0.83925900
2.18399843	-0.24414810	-1.29703700
2.19199843	-0.64088860	-1.89214700
2.19999843	-1.00711100	-2.50251800
2.20799843	-1.34281400	-2.97555400
2.21599843	-1.57170300	-3.26548000
2.22399843	-1.69377700	-3.41807300
2.23199843	-1.73955500	-3.52488800
2.23999843	-1.64799900	-3.54014700
2.24799843	-1.49540700	-3.41807300
2.25599843	-1.23600000	-3.09762900
2.26399843	-0.90029600	-2.67036900
2.27199842	-0.57985160	-2.22785100
2.27999842	-0.24414810	-1.80059200
2.28799842	0.07629627	-1.34281400
2.29599842	0.33570360	-0.85451820
2.30399842	0.56459240	-0.41199990
2.31199842	0.77822200	-0.09155552
2.31999842	0.88503670	0.07629627
2.32799842	0.90029600	0.12207400
2.33599842	0.82399970	0.07629627
2.34399842	0.61037020	-0.10681480
2.35199842	0.32044430	-0.44251840
2.35999842	0.00000000	-0.93081450
2.36799842	-0.36622210	-1.44962900
2.37599842	-0.71718490	-1.93792500
2.38399842	-1.02237000	-2.41096200
2.39199842	-1.34281400	-2.83822100
2.39999842	-1.63274000	-3.21970200
2.40799842	-1.83111000	-3.44859100
2.41599842	-1.99896200	-3.50962800
2.42399842	-2.04474000	-3.38755400
2.43199842	-1.98370300	-3.18918400
2.43999842	-1.86162900	-2.92977700
2.44799842	-1.64799900	-2.59407300
2.45599842	-1.40385100	-2.19733300
2.46399842	-1.11392600	-1.77007300
2.47199842	-0.82399970	-1.40385100
2.47999842	-0.54933320	-1.09866600
2.48799842	-0.32044430	-0.85451820
2.49599842	-0.13733330	-0.65614790
2.50399842	0.00000000	-0.50355540
2.51199842	0.10681480	-0.41199990
2.51999842	0.12207400	-0.39674060
2.52799842	0.07629627	-0.44251840
2.53599842	-0.06103702	-0.53407390
2.54399842	-0.27466660	-0.67140720
2.55199842	-0.54933320	-0.88503670
