%Time	Channel A
%(us)	(mV)
%
0.00000086	1.48014800
0.00800086	1.41911100
0.01600086	1.35807400
0.02400086	1.28177700
0.03200086	1.25125900
0.04000086	1.20548100
0.04800086	1.08340700
0.05600086	1.06814800
0.06400086	1.03762900
0.07200086	1.00711100
0.08000086	1.00711100
0.08800086	1.00711100
0.09600086	1.05288900
0.10400086	1.11392600
0.11200086	1.19022200
0.12000086	1.31229600
0.12800086	1.40385100
0.13600086	1.48014800
0.14400086	1.57170300
0.15200086	1.64799900
0.16000086	1.64799900
0.16800086	1.64799900
0.17600086	1.61748100
0.18400086	1.55644400
0.19200086	1.54118500
0.20000086	1.48014800
0.20800086	1.40385100
0.21600086	1.37333300
0.22400086	1.31229600
0.23200085	1.31229600
0.24000085	1.28177700
0.24800085	1.26651800
0.25600085	1.28177700
0.26400085	1.26651800
0.27200085	1.26651800
0.28000085	1.29703700
0.28800085	1.25125900
0.29600085	1.23600000
0.30400085	1.25125900
0.31200085	1.23600000
0.32000085	1.20548100
0.32800085	1.19022200
0.33600085	1.17496300
0.34400085	1.17496300
0.35200085	1.19022200
0.36000085	1.20548100
0.36800085	1.20548100
0.37600085	1.19022200
0.38400085	1.19022200
0.39200085	1.17496300
0.40000085	1.15970300
0.40800085	1.14444400
0.41600085	1.11392600
0.42400085	1.09866600
0.43200085	1.11392600
0.44000085	1.14444400
0.44800085	1.14444400
0.45600085	1.19022200
0.46400085	1.23600000
0.47200085	1.26651800
0.48000085	1.31229600
0.48800085	1.35807400
0.49600085	1.38859200
0.50400085	1.41911100
0.51200085	1.43437000
0.52000085	1.49540700
0.52800085	1.51066600
0.53600085	1.55644400
0.54400085	1.64799900
0.55200085	1.69377700
0.56000085	1.77007300
0.56800085	1.83111000
0.57600085	1.87688800
0.58400085	1.93792500
0.59200084	1.95318400
0.60000084	1.96844400
0.60800084	1.93792500
0.61600084	1.90740700
0.62400084	1.86162900
0.63200084	1.77007300
0.64000084	1.72429600
0.64800084	1.63274000
0.65600084	1.55644400
0.66400084	1.48014800
0.67200084	1.40385100
0.68000084	1.37333300
0.68800084	1.34281400
0.69600084	1.32755500
0.70400084	1.35807400
0.71200084	1.32755500
0.72000084	1.37333300
0.72800084	1.40385100
0.73600084	1.43437000
0.74400084	1.44962900
0.75200084	1.43437000
0.76000084	1.44962900
0.76800084	1.43437000
0.77600084	1.41911100
0.78400084	1.40385100
0.79200084	1.37333300
0.80000084	1.37333300
0.80800084	1.32755500
0.81600084	1.31229600
0.82400084	1.28177700
0.83200084	1.22074000
0.84000084	1.22074000
0.84800084	1.19022200
0.85600084	1.22074000
0.86400084	1.26651800
0.87200084	1.31229600
0.88000084	1.38859200
0.88800084	1.46488800
0.89600084	1.54118500
0.90400084	1.60222200
0.91200084	1.61748100
0.92000084	1.61748100
0.92800084	1.54118500
0.93600084	1.46488800
0.94400083	1.37333300
0.95200083	1.23600000
0.96000083	1.15970300
0.96800083	1.06814800
0.97600083	1.00711100
0.98400083	1.02237000
0.99200083	0.96133300
1.00000083	1.06814800
1.00800083	1.09866600
1.01600083	1.15970300
1.02400083	1.28177700
1.03200083	1.32755500
1.04000083	1.41911100
1.04800083	1.48014800
1.05600083	1.54118500
1.06400083	1.58696200
1.07200083	1.61748100
1.08000083	1.64799900
1.08800083	1.64799900
1.09600083	1.66325900
1.10400083	1.66325900
1.11200083	1.64799900
1.12000083	1.64799900
1.12800083	1.60222200
1.13600083	1.61748100
1.14400083	1.60222200
1.15200083	1.54118500
1.16000083	1.58696200
1.16800083	1.52592500
1.17600083	1.54118500
1.18400083	1.54118500
1.19200083	1.48014800
1.20000083	1.48014800
1.20800083	1.41911100
1.21600083	1.38859200
1.22400083	1.35807400
1.23200083	1.29703700
1.24000083	1.25125900
1.24800083	1.22074000
1.25600083	1.19022200
1.26400083	1.19022200
1.27200083	1.19022200
1.28000083	1.20548100
1.28800083	1.25125900
1.29600082	1.29703700
1.30400082	1.32755500
1.31200082	1.37333300
1.32000082	1.44962900
1.32800082	1.48014800
1.33600082	1.52592500
1.34400082	1.57170300
1.35200082	1.61748100
1.36000082	1.67851800
1.36800082	1.72429600
1.37600082	1.77007300
1.38400082	1.81585100
1.39200082	1.81585100
1.40000082	1.86162900
1.40800082	1.81585100
