%Time	Channel A
%(us)	(mV)
%
1.91200081	-32.45948000
1.92000081	-65.85284000
1.92800081	-94.41206000
1.93600081	-116.05580000
1.94400081	-129.11770000
1.95200081	-132.67620000
1.96000081	-126.46870000
1.96800081	-111.09350000
1.97600081	-87.77123000
1.98400081	-58.19269000
1.99200081	-24.51247000
2.00000080	11.01108000
2.00800080	46.14399000
2.01600080	78.55464000
2.02400080	106.22270000
2.03200080	127.57960000
2.04000080	141.34340000
2.04800080	146.76960000
2.05600080	143.75440000
2.06400080	132.55410000
2.07200080	113.63870000
2.08000080	88.17408000
2.08800080	57.59453000
2.09600080	23.93261000
2.10400080	-10.84017000
2.11200080	-44.63027000
2.12000080	-75.14267000
2.12800080	-100.38150000
2.13600080	-118.59490000
2.14400080	-128.48900000
2.15200080	-129.46560000
2.16000080	-121.49420000
2.16800080	-105.17290000
2.17600080	-81.71026000
2.18400080	-52.73598000
2.19200080	-20.26429000
2.20000080	13.47697000
2.20800080	46.37593000
2.21600080	76.31458000
2.22400080	101.26040000
2.23200080	119.65090000
2.24000080	130.32010000
2.24800080	132.67010000
2.25600080	126.63960000
2.26400080	112.53400000
2.27200080	91.34190000
2.28000080	64.49782000
2.28800080	33.79010000
2.29600080	1.37333300
2.30400080	-30.61617000
2.31200080	-60.13367000
2.32000080	-85.10392000
2.32800080	-103.89720000
2.33600080	-115.40880000
2.34400080	-119.05270000
2.35200080	-114.85950000
2.36000079	-103.31130000
2.36800079	-85.34196000
2.37600079	-62.30659000
2.38400079	-35.73717000
2.39200079	-7.40379000
2.40000079	20.96011000
2.40800079	47.70654000
2.41600079	71.21189000
2.42400079	90.13336000
2.43200079	103.35400000
2.44000079	110.08030000
2.44800079	109.93380000
2.45600079	102.89620000
2.46400079	89.33378000
2.47200079	70.10102000
2.48000079	46.48579000
2.48800079	20.04456000
2.49600079	-7.47703500
2.50400079	-34.19904000
2.51200079	-58.27814000
2.52000079	-78.11517000
2.52800079	-92.47719000
2.53600079	-100.47910000
2.54400079	-101.76090000
2.55200079	-96.42628000
2.56000079	-84.90249000
2.56800079	-68.09901000
2.57600079	-47.18772000
2.58400079	-23.50535000
2.59200079	1.42216300
2.60000079	26.12995000
2.60800079	49.08597000
2.61600079	68.87417000
2.62400079	84.29823000
2.63200079	94.29609000
2.64000079	98.17194000
2.64800079	95.65722000
2.65600079	86.85567000
2.66400079	72.37159000
2.67200079	53.27311000
