%Time	Channel A
%(us)	(mV)
%
1.80800081	21.99469000
1.81600081	11.98462000
1.82400081	1.05288900
1.83200081	-10.08331000
1.84000081	-20.63356000
1.84800081	-29.85626000
1.85600081	-37.12271000
1.86400081	-41.97211000
1.87200081	-44.12061000
1.88000081	-43.40648000
1.88800081	-39.72289000
1.89600081	-33.37199000
1.90400081	-24.79629000
1.91200081	-14.44441000
1.92000081	-3.14951000
1.92800081	8.43226400
1.93600081	19.56236000
1.94400081	29.35270000
1.95200081	37.27225000
1.96000081	42.80221000
1.96800081	45.53362000
1.97600081	45.39628000
1.98400081	42.38105000
1.99200081	36.80837000
2.00000080	29.09940000
2.00800080	19.76989000
2.01600080	9.50346400
2.02400080	-1.09866600
2.03200080	-11.35899000
2.04000080	-20.54201000
2.04800080	-28.04346000
2.05600080	-33.53374000
2.06400080	-36.60695000
2.07200080	-37.03726000
2.08000080	-34.90402000
2.08800080	-30.16144000
2.09600080	-23.17576000
2.10400080	-14.37727000
2.11200080	-4.27564300
2.12000080	6.37226500
2.12800080	16.90420000
2.13600080	26.49312000
2.14400080	34.40962000
2.15200080	40.00061000
2.16000080	42.61910000
2.16800080	41.91412000
2.17600080	37.81548000
2.18400080	30.38117000
2.19200080	20.14222000
2.20000080	7.90124100
2.20800080	-5.32548000
2.21600080	-18.38130000
2.22400080	-30.08209000
2.23200080	-39.41160000
2.24000080	-45.49699000
2.24800080	-47.63634000
2.25600080	-45.75030000
2.26400080	-40.11658000
2.27200080	-31.50731000
2.28000080	-20.72817000
2.28800080	-8.62758300
2.29600080	3.58287300
2.30400080	15.04868000
2.31200080	24.87564000
2.32000080	32.48695000
2.32800080	37.87041000
2.33600080	41.12980000
2.34400080	42.25898000
2.35200080	41.20914000
2.36000079	38.07795000
2.36800079	33.11869000
2.37600079	26.51143000
2.38400079	18.47285000
2.39200079	9.23490100
2.40000079	-0.81179230
2.40800079	-11.15757000
2.41600079	-21.19510000
2.42400079	-30.15229000
2.43200079	-37.35160000
2.44000079	-42.13385000
2.44800079	-44.01379000
2.45600079	-42.93954000
2.46400079	-38.92636000
2.47200079	-32.24281000
2.48000079	-23.33140000
2.48800079	-12.62246000
2.49600079	-0.89114050
2.50400079	10.81881000
2.51200079	21.66204000
2.52000079	31.00375000
2.52800079	38.31904000
2.53600079	43.08603000
2.54400079	44.92935000
2.55200079	43.65368000
2.56000079	39.30784000
2.56800079	32.24281000
2.57600079	23.09336000
2.58400079	12.51869000
2.59200079	1.13834000
2.60000079	-10.15656000
2.60800079	-20.46266000
2.61600079	-29.09940000
2.62400079	-35.36485000
2.63200079	-38.87448000
2.64000079	-39.52147000
2.64800079	-37.36686000
2.65600079	-32.73110000
2.66400079	-26.02924000
2.67200079	-17.89605000
2.68000079	-8.99075300
2.68800079	0.18311110
2.69600079	8.94802700
2.70400079	16.85232000
2.71200078	23.54503000
2.72000078	28.70876000
2.72800078	32.16040000
2.73600078	33.83892000
2.74400078	33.68938000
2.75200078	31.65380000
2.76000078	27.90918000
2.76800078	22.55928000
2.77600078	15.93371000
2.78400078	8.49024900
2.79200078	0.54322950
2.80000078	-7.35496100
2.80800078	-14.77096000
2.81600078	-21.16154000
2.82400078	-25.96820000
2.83200078	-29.00174000
2.84000078	-29.98444000
2.84800078	-28.87356000
2.85600078	-25.90106000
2.86400078	-21.14017000
2.87200078	-14.93271000
2.88000078	-7.72423500
2.88800078	-0.00305185
2.89600078	7.72423500
2.90400078	14.98764000
2.91200078	21.32023000
2.92000078	26.34053000
2.92800078	29.65178000
2.93600078	31.05869000
2.94400078	30.39033000
2.95200078	27.63451000
2.96000078	23.03842000
2.96800078	16.84316000
2.97600078	9.55534500
2.98400078	1.73650300
2.99200078	-6.12201300
3.00000078	-13.37016000
3.00800078	-19.49522000
3.01600078	-24.11572000
3.02400078	-26.90207000
3.03200078	-27.79321000
3.04000078	-26.83187000
3.04800078	-24.19813000
3.05600078	-20.14222000
3.06400077	-14.94491000
3.07200077	-9.00296000
3.08000077	-2.67037000
3.08800077	3.68358400
3.09600077	9.71709300
3.10400077	15.07920000
3.11200077	19.48302000
3.12000077	22.71493000
3.12800077	24.50941000
3.13600077	24.75966000
3.14400077	23.45347000
3.15200077	20.63051000
3.16000077	16.53798000
3.16800077	11.47801000
3.17600077	5.72527200
3.18400077	-0.28992580
3.19200077	-6.14948000
3.20000077	-11.50548000
3.20800077	-15.98559000
3.21600077	-19.33042000
3.22400077	-21.37822000
3.23200077	-22.00995000
3.24000077	-21.19816000
3.24800077	-18.98251000
3.25600077	-15.50035000
3.26400077	-10.99277000
3.27200077	-5.70085800
3.28000077	0.07324442
3.28800077	5.88396800
3.29600077	11.39256000
3.30400077	16.22669000
3.31200077	19.98962000
3.32000077	22.47688000
3.32800077	23.48399000
3.33600077	22.89499000
3.34400077	20.82888000
3.35200077	17.45354000
3.36000077	13.04971000
3.36800077	7.95617600
3.37600077	2.58186600
3.38400077	-2.73140700
3.39200077	-7.57469400
3.40000077	-11.67333000
3.40800077	-14.82284000
3.41600076	-16.84011000
3.42400076	-17.73736000
3.43200076	-17.42912000
3.44000076	-15.99170000
3.44800076	-13.62346000
3.45600076	-10.37629000
3.46400076	-6.50044300
3.47200076	-2.21259200
3.48000076	2.27668100
3.48800076	6.66219000
3.49600076	10.67232000
3.50400076	14.06598000
3.51200076	16.62343000
3.52000076	18.17988000
3.52800076	18.57967000
3.53600076	17.85638000
3.54400076	15.99475000
3.55200076	13.17179000
3.56000076	9.55534500
3.56800076	5.38651700
3.57600076	1.00100700
3.58400076	-3.45469500
3.59200076	-7.56248700
3.60000076	-11.11789000
3.60800076	-13.97443000
3.61600076	-15.81164000
3.62400076	-16.66311000
3.63200076	-16.37623000
3.64000076	-14.97238000
3.64800076	-12.60109000
3.65600076	-9.35392300
3.66400076	-5.46586500
3.67200076	-1.16885900
3.68000076	3.19223600
3.68800076	7.33359800
3.69600076	10.95615000
3.70400076	13.79437000
3.71200076	15.66820000
3.72000076	16.41285000
3.72800076	16.07715000
3.73600076	14.68246000
3.74400076	12.31422000
3.75200076	9.27152300
3.76000076	5.74053100
3.76800075	1.95928800
3.77600075	-1.77617700
3.78400075	-5.27665000
3.79200075	-8.30103400
3.80000075	-10.71505000
3.80800075	-12.36610000
3.81600075	-13.15653000
3.82400075	-13.08328000
3.83200075	-12.14942000
3.84000075	-10.41292000
3.84800075	-7.97448600
3.85600075	-5.00503500
3.86400075	-1.66936200
3.87200075	1.78228100
3.88000075	5.09353900
3.88800075	8.12402700
3.89600075	10.63265000
3.90400075	12.45765000
3.91200075	13.53496000
3.92000075	13.80657000
3.92800075	13.26029000
3.93600075	11.97851000
3.94400075	10.07721000
3.95200075	7.61436800
3.96000075	4.78225000
3.96800075	1.78838500
3.97600075	-1.26346600
3.98400075	-4.17188000
3.99200075	-6.74153900
4.00000075	-8.84121200
4.00800075	-10.32136000
4.01600075	-11.06601000
4.02400075	-11.00497000
4.03200075	-10.14435000
4.04000075	-8.54823400
4.04800075	-6.26850200
4.05600075	-3.48521400
4.06400075	-0.44557020
4.07200075	2.68257700
4.08000075	5.65813200
4.08800075	8.21863500
4.09600075	10.26032000
4.10400075	11.63976000
4.11200075	12.19825000
4.12000075	12.00903000
4.12800074	11.10263000
4.13600074	9.50956700
4.14400074	7.41599800
4.15200074	4.91958400
4.16000074	2.22785100
4.16800074	-0.48219240
4.17600074	-3.10983600
4.18400074	-5.39872500
4.19200074	-7.27561200
4.20000074	-8.65199800
4.20800074	-9.36002700
4.21600074	-9.42411600
4.22400074	-8.88088600
4.23200074	-7.71202700
4.24000074	-6.02740600
4.24800074	-3.99182100
4.25600074	-1.65715500
4.26400074	0.75685910
4.27200074	3.06405800
4.28000074	5.22171700
4.28800074	6.99484200
4.29600074	8.35291600
4.30400074	9.21658900
4.31200074	9.47294500
4.32000074	9.25321200
4.32800074	8.46278300
4.33600074	7.16269400
4.34400074	5.54521300
4.35200074	3.57371700
4.36000074	1.41605900
4.36800074	-0.72328870
4.37600074	-2.82296200
4.38400074	-4.69069500
4.39200074	-6.16779000
4.40000074	-7.26340500
4.40800074	-7.80968700
4.41600074	-7.78222000
4.42400074	-7.23288700
4.43200074	-6.12811700
4.44000074	-4.62355400
4.44800074	-2.80465100
4.45600074	-0.72328870
4.46400074	1.37638500
4.47200074	3.41807300
4.48000073	5.32853200
4.48800073	6.89107900
4.49600073	8.06909400
4.50400073	8.82290100
4.51200073	9.01821900
4.52000073	8.68862000
4.52800073	7.86462000
4.53600073	6.56453100
4.54400073	4.92263600
4.55200073	2.98776200
4.56000073	0.90334780
4.56800073	-1.12308100
4.57600073	-3.04269500
4.58400073	-4.64796900
4.59200073	-5.83208700
4.60000073	-6.58284200
4.60800073	-6.72322800
4.61600073	-6.33869400
4.62400073	-5.50248700
4.63200073	-4.20850300
4.64000073	-2.62154000
4.64800073	-0.84536270
4.65600073	1.02237000
4.66400073	2.83517000
4.67200073	4.48316900
4.68000073	5.87176100
4.68800073	6.87276800
4.69600073	7.52586500
4.70400073	7.73949400
4.71200073	7.48924200
4.72000073	6.91854600
4.72800073	5.88702100
4.73600073	4.56862100
4.74400073	3.07931800
4.75200073	1.40690300
4.76000073	-0.24719990
4.76800073	-1.80669600
4.77600073	-3.24106600
4.78400073	-4.35193900
4.79200073	-5.10879900
4.80000073	-5.49943500
4.80800073	-5.43534600
4.81600073	-5.02029500
4.82400073	-4.23291700
4.83200072	-3.07931800
4.84000072	-1.76091800
4.84800072	-0.29602950
4.85600072	1.26957000
4.86400072	2.68868100
4.87200072	4.01013200
4.88000072	5.14542100
4.88800072	5.88702100
4.89600072	6.35090200
4.90400072	6.44245700
4.91200072	6.13727200
4.92000072	5.54521300
4.92800072	4.59303500
4.93600072	3.39365800
4.94400072	2.09967300
4.95200072	0.65919980
4.96000072	-0.73244420
4.96800072	-1.98675500
